NS-T0,NS-T14,ME-T0,ME-T14,NH-T0,NH-T14,FIELD-T0,FIELD-T14,MA-T0,MA-T14,SC-T0,SC-T14,FL-T0,FL-T14
,g__Tequatrovirus,,g__Zhoulongquanvirus,g__Alphabaculovirus,g__Atlauavirus,g__Orthopoxvirus,,,g__Cheoctovirus,,g__Vojvodinavirus,,g__Huelvavirus
,g__Tequatrovirus,,g__Zhoulongquanvirus,g__Tequintavirus,g__Atlauavirus,g__Tequatrovirus,,,g__Cheoctovirus,,g__Chlorovirus,,g__Klausavirus
,g__Epseptimavirus,,g__Powerballvirus,g__Loessnervirus,g__Atlauavirus,g__Tequatrovirus,,,g__Maxdohrnvirus,,g__Picardvirus,,g__Anthonyvirus
,g__Epseptimavirus,,g__Nymphadoravirus,,g__Atlauavirus,g__Epseptimavirus,,,g__Bronvirus,,g__unclassified Viruses genus,,g__Faithunavirus
,g__Epseptimavirus,,g__Serangoonvirus,,g__Brizovirus,g__Epseptimavirus,,,g__Bosavirus,,g__unclassified Viruses genus,,g__Wizardvirus
,g__Epseptimavirus,,g__Serangoonvirus,,g__Brizovirus,g__Epseptimavirus,,,g__Henunavirus,,g__unclassified Viruses genus,,g__Vividuovirus
,g__Epseptimavirus,,g__Yushanluvirus,,g__Brizovirus,g__Kuttervirus,,,g__Hollowayvirus,,g__unclassified Viruses genus,,g__Octobienvirus
,g__Tequintavirus,,g__Yushanluvirus,,g__Brizovirus,g__Epseptimavirus,,,g__Hollowayvirus,,g__Grisebachstrassevirus,,g__Penintadodekavirus
,g__Epseptimavirus,,g__Yushanluvirus,,g__Brizovirus,g__Epseptimavirus,,,g__Holosalinivirus,,g__Marseillevirus,,g__Fishburnevirus
,g__Epseptimavirus,,g__Yellowseavirus,,g__Brizovirus,g__Tequintavirus,,,g__Klausavirus,,g__Eneladusvirus,,g__Fishburnevirus
,g__Epseptimavirus,,g__Yellowseavirus,,g__Thalassavirus,g__Epseptimavirus,,,g__Fishburnevirus,,g__Eneladusvirus,,g__Cheoctovirus
,g__Jiaodavirus,,g__Yellowseavirus,,g__Likavirus,g__Epseptimavirus,,,g__Fishburnevirus,,g__Nanhaivirus,,g__Cheoctovirus
,g__Mosigvirus,,g__Scyllavirus,,g__unclassified Caudoviricetes genus,g__Epseptimavirus,,,g__Hattifnattvirus,,g__Mieseafarmvirus,,g__Maxdohrnvirus
,g__Annadreamyvirus,,g__Scyllavirus,,g__Veravirus,g__Jiaodavirus,,,g__Lillamyvirus,,g__Mieseafarmvirus,,g__Bronvirus
,g__Annadreamyvirus,,g__Scyllavirus,,g__Barbavirus,g__Jiaodavirus,,,g__Muminvirus,,g__Sasquatchvirus,,g__Bosavirus
,g__Cheoctovirus,,g__Tieomvirus,,g__Barbavirus,g__Mosigvirus,,,g__Lillamyvirus,,g__Shandvirus,,g__Hollowayvirus
,g__Cheoctovirus,,g__Pokkenvirus,,g__Barbavirus,g__Krischvirus,,,g__Fishburnevirus,,g__Shandvirus,,g__Hollowayvirus
,g__Tamkungvirus,,g__unclassified Caudoviricetes genus,,g__Barbavirus,g__Apricotvirus,,,g__Fishburnevirus,,g__Kalppathivirus,,g__Hollowayvirus
,g__Tamkungvirus,,g__Carvajevirus,,g__Stanholtvirus,g__Campanilevirus,,,g__Kuttervirus,,g__Kalppathivirus,,g__Lambdavirus
,g__Feofaniavirus,,g__Libingvirus,,g__Stanholtvirus,g__Wellingtonvirus,,,g__Privateervirus,,g__Kalppathivirus,,g__Shamshuipovirus
,g__Poindextervirus,,g__Yanchengvirus,,g__Naesvirus,g__Tamkungvirus,,,g__Cornievirus,,g__Kalppathivirus,,g__Dhillonvirus
,g__Bertelyvirus,,g__Epseptimavirus,,g__Naesvirus,g__Tamkungvirus,,,g__Cheoctovirus,,g__Busanvirus,,g__Dhillonvirus
,g__Cheoctovirus,,g__Nanhuvirus,,g__Ryyoungvirus,g__Lazarusvirus,,,g__Privateervirus,,g__unclassified Caudoviricetes genus,,g__Klausavirus
,g__Charlievirus,,g__Shenzhenivirus,,g__Ryyoungvirus,g__Feofaniavirus,,,g__Burrovirus,,g__Fishburnevirus,,g__Fishburnevirus
,g__Bixzunavirus,,g__Shenzhenivirus,,g__Donellivirus,g__Kuttervirus,,,g__Fishburnevirus,,g__Fishburnevirus,,g__Imvubuvirus
,g__Cheoctovirus,,g__Iggyvirus,,g__Rauchvirus,g__Kuttervirus,,,g__Fishburnevirus,,g__unclassified Phycodnaviridae genus,,g__Muminvirus
,g__Bixzunavirus,,g__unclassified Caudoviricetes genus,,g__Rauchvirus,g__Lazarusvirus,,,g__Kuttervirus,,g__Cheoctovirus,,g__Hattifnattvirus
,g__Cheoctovirus,,g__unclassified Caudoviricetes genus,,g__Rauchvirus,g__Cheoctovirus,,,g__Kuttervirus,,g__Bellamyvirus,,g__Lillamyvirus
,g__Thetabobvirus,,g__unclassified Caudoviricetes genus,,g__Octobienvirus,g__Getalongvirus,,,g__Xuanwuvirus,,g__Bellamyvirus,,g__Muminvirus
,g__Cheoctovirus,,g__Betabaculovirus,,g__Brujitavirus,g__Tequatrovirus,,,g__Wadgaonvirus,,g__Yonseivirus,,g__Muminvirus
,g__Gilsonvirus,,g__Iggyvirus,,g__Moineauvirus,g__Tequatrovirus,,,g__Cheoctovirus,,g__Yonseivirus,,g__Lillamyvirus
,g__Gilsonvirus,,g__unclassified Caudoviricetes genus,,g__Moineauvirus,g__Tequintavirus,,,g__Lastavirus,,g__Fishburnevirus,,g__Muminvirus
,g__Justusliebigvirus,,g__Gorganvirus,,g__Moineauvirus,g__Jiaodavirus,,,g__Lastavirus,,g__Centapoxvirus,,g__Bixzunavirus
,g__Getalongvirus,,g__unclassified Caudoviricetes genus,,g__Lederbergvirus,g__Jiaodavirus,,,g__Lastavirus,,g__Centapoxvirus,,g__Fishburnevirus
,g__Tequatrovirus,,g__unclassified Caudoviricetes genus,,g__Lederbergvirus,g__Epseptimavirus,,,g__Cheoctovirus,,g__Lastavirus,,g__Skogvirus
,g__Tequintavirus,,g__Nonanavirus,,g__Chenonavirus,g__Tequatrovirus,,,g__Cheoctovirus,,g__Myrnavirus,,g__Wulfhauvirus
,g__Jiaodavirus,,g__Alphabaculovirus,,g__Biquartavirus,g__Tequatrovirus,,,g__Samistivirus,,g__Cheoctovirus,,g__Thalassavirus
,g__Epseptimavirus,,g__Alphabaculovirus,,g__Tiamatvirus,g__Mosigvirus,,,g__Amoyvirus,,g__Cheoctovirus,,g__Ayohtrevirus
,g__Tequatrovirus,,g__Alphabaculovirus,,g__Yuavirus,g__Kuttervirus,,,g__Amoyvirus,,g__Phabquatrovirus,,g__Fishburnevirus
,g__Mosigvirus,,g__Betabaculovirus,,g__Cheoctovirus,g__Epseptimavirus,,,g__Camvirus,,g__Phabquatrovirus,,g__Kisquattuordecimvirus
,g__Bixzunavirus,,g__Alphabaculovirus,,g__Cheoctovirus,g__Tequintavirus,,,g__Ashivirus,,g__unclassified Iridoviridae genus,,g__Wadgaonvirus
,g__Epseptimavirus,,g__Heliosvirus,,g__Cheoctovirus,g__Miltonvirus,,,g__Pedosvirus,,g__Decapodiridovirus,,g__Cheoctovirus
,g__Tequintavirus,,g__Alphabaculovirus,,g__Cheoctovirus,g__Tequatrovirus,,,g__Oinezvirus,,g__Kumaovirus,,g__Cheoctovirus
,g__Miltonvirus,,g__Alphabaculovirus,,g__Cheoctovirus,g__Tequatrovirus,,,g__Elemovirus,,g__Kumaovirus,,g__Thalassavirus
,g__Cheoctovirus,,g__Moumouvirus,,g__Kostyavirus,g__Tequatrovirus,,,g__Elemovirus,,g__Justusliebigvirus,,g__Thalassavirus
,g__Tequatrovirus,,g__Moumouvirus,,g__Fromanvirus,g__Tequatrovirus,,,g__Elemovirus,,g__Hongcheonvirus,,g__Thalassavirus
,g__Tequatrovirus,,g__Theiavirus,,g__Fromanvirus,g__Orthopoxvirus,,,g__Elemovirus,,g__Fishburnevirus,,g__Thalassavirus
,g__Mosigvirus,,g__Oceanusvirus,,g__Afonbuvirus,g__Mosigvirus,,,g__Elemovirus,,g__Kagunavirus,,g__Ashivirus
,g__Epseptimavirus,,g__Moumouvirus,,g__Afonbuvirus,g__Epseptimavirus,,,g__Slepowronvirus,,g__Getalongvirus,,g__Fishburnevirus
,g__Citexvirus,,g__Tupanvirus,,g__Blohavirus,g__Epseptimavirus,,,g__Slepowronvirus,,g__Charlievirus,,g__Elemovirus
,g__Epseptimavirus,,g__Tupanvirus,,g__Buchavirus,g__Leucotheavirus,,,g__Caminolopintovirus,,g__Lavrentievavirus,,g__Elemovirus
,g__Leucotheavirus,,g__Tupanvirus,,g__Buchavirus,g__Leucotheavirus,,,g__Harrisonburgvirus,,g__Inbricusvirus,,g__Elemovirus
,g__Leucotheavirus,,g__Tupanvirus,,g__Buchavirus,g__Skunavirus,,,g__Clownvirus,,g__Eneladusvirus,,g__Elemovirus
,g__Cheoctovirus,,g__Alphabaculovirus,,g__Bohxovirus,g__Skunavirus,,,g__Bakolyvirus,,g__Aokuangvirus,,g__Elemovirus
,g__Coventryvirus,,g__Alphabaculovirus,,g__Burzaovirus,g__Hadassahvirus,,,g__Bakolyvirus,,g__Avipoxvirus,,g__Elemovirus
,g__Electravirus,,g__Megavirus,,g__Aurodevirus,g__Tequatrovirus,,,g__Rahariannevirus,,g__Avipoxvirus,,g__Vividuovirus
,g__Skunavirus,,g__Megavirus,,g__Aurodevirus,g__Tequatrovirus,,,g__Gervaisevirus,,g__Lughvirus,,g__Avanivirus
,g__Skunavirus,,g__Alphabaculovirus,,g__Birpovirus,g__Tequatrovirus,,,g__Firingavirus,,g__Prasinovirus,,g__Slepowronvirus
,g__Tequatrovirus,,g__Alphabaculovirus,,g__Detrevirus,g__Tequatrovirus,,,g__Cimandefvirus,,g__Littlefixvirus,,g__Freyavirus
,g__Tequatrovirus,,g__Fadolivirus,,g__Marthavirus,g__Tequatrovirus,,,g__Cimandefvirus,,g__Littlefixvirus,,g__Nekkelsvirus
,g__Tequatrovirus,,g__Fadolivirus,,g__Canhaevirus,g__Tequatrovirus,,,g__Wizardvirus,,g__Yonseivirus,,g__Caminolopintovirus
,g__Bixzunavirus,,g__Fadolivirus,,g__Cohcovirus,g__Goslarvirus,,,g__Cheoctovirus,,g__Kratiovirus,,g__Harrisonburgvirus
,g__Bixzunavirus,,g__Betabaculovirus,,g__Culoivirus,g__Getalongvirus,,,g__Manovirus,,g__Makelovirus,,g__Harrisonburgvirus
,g__Getalongvirus,,g__Alphabaculovirus,,g__Abaiavirus,g__Epseptimavirus,,,g__Micavirus,,g__Makelovirus,,g__Bakolyvirus
,g__Kablunavirus,,g__Alphabaculovirus,,g__Namazuvirus,g__Epseptimavirus,,,g__Cheoctovirus,,g__Pandoravirus,,g__Bakolyvirus
,g__Epseptimavirus,,g__Alphabaculovirus,,g__Beenievirus,g__Tequintavirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Rahariannevirus
,g__Epseptimavirus,,g__Alphabaculovirus,,g__Kumottavirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Gervaisevirus
,g__Tequintavirus,,g__Alphabaculovirus,,g__Pavtokvirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Cimandefvirus
,g__Tequatrovirus,,g__Alcyoneusvirus,,g__Moineauvirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Cimandefvirus
,g__Tequatrovirus,,g__Tequintavirus,,g__Moineauvirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Cimandefvirus
,g__Tequatrovirus,,,,g__Moineauvirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Cimandefvirus
,g__Tequatrovirus,,,,g__Hestiavirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Bixzunavirus
,g__Dagavirus,,,,g__Isoldevirus,g__Tequatrovirus,,,g__Atlauavirus,,g__Pandoravirus,,g__Wizardvirus
,g__Vimunumvirus,,,,g__Seamegvirus,g__Tequatrovirus,,,g__Brizovirus,,g__Traversvirus,,g__Octobienvirus
,g__Qadamvirus,,,,g__Richievirus,g__Taipeivirus,,,g__Brizovirus,,g__Kelquatrovirus,,g__Faithunavirus
,g__Shirahamavirus,,,,g__Fajavirus,g__Dagavirus,,,g__Brizovirus,,g__Kelquatrovirus,,g__Lahndsivirus
,g__Godonkavirus,,,,g__Richievirus,g__Vimunumvirus,,,g__Brizovirus,,g__Cheoctovirus,,g__Cheoctovirus
,g__Epseptimavirus,,,,g__Richievirus,g__Derbicusvirus,,,g__Brizovirus,,g__Kratiovirus,,g__Atlauavirus
,g__Tequatrovirus,,,,g__Richievirus,g__Agtrevirus,,,g__Brizovirus,,g__Cheoctovirus,,g__Atlauavirus
,g__Tequintavirus,,,,g__Beenievirus,g__Qadamvirus,,,g__Gediminasvirus,,g__Cheoctovirus,,g__Atlauavirus
,g__Tequatrovirus,,,,g__Trinifflemingvirus,g__Petsuvirus,,,g__Immutovirus,,g__Phapecoctavirus,,g__Atlauavirus
,g__unclassified Caudoviricetes genus,,,,g__Cyamitesvirus,g__Epseptimavirus,,,g__Bronvirus,,g__Shandvirus,,g__Atlauavirus
,g__Tequatrovirus,,,,g__Trinifflemingvirus,g__Cetovirus,,,g__Triduovirus,,g__Shandvirus,,g__Atlauavirus
,g__Epseptimavirus,,,,g__Trinifflemingvirus,g__Thalassavirus,,,g__Taipeivirus,,g__Yonginvirus,,g__Brizovirus
,g__Tequintavirus,,,,g__Septimatrevirus,g__Thalassavirus,,,g__Veravirus,,g__Squashvirus,,g__Brizovirus
,g__Irrigatiovirus,,,,g__Zhoulongquanvirus,g__Tequatrovirus,,,g__Fromanvirus,,g__Squashvirus,,g__Brizovirus
,g__Cheoctovirus,,,,g__Zhoulongquanvirus,g__Tequatrovirus,,,g__Barbavirus,,g__Cheoctovirus,,g__Brizovirus
,g__Coventryvirus,,,,g__Zhoulongquanvirus,g__Vapseptimavirus,,,g__Barbavirus,,g__Orthopoxvirus,,g__Brizovirus
,g__Epseptimavirus,,,,g__Kumottavirus,g__Vapseptimavirus,,,g__Barbavirus,,g__Alexandravirus,,g__Brizovirus
,g__Epseptimavirus,,,,g__Dubuvirus,g__Marfavirus,,,g__Barbavirus,,g__Aorunvirus,,g__Brizovirus
,g__Epseptimavirus,,,,g__Powerballvirus,g__Tequintavirus,,,g__Barbavirus,,g__Cheoctovirus,,g__Brizovirus
,g__Beograduvirus,,,,g__Quivirus,g__Carltongylesvirus,,,g__Bcepmuvirus,,g__Cheoctovirus,,g__Brizovirus
,g__Epseptimavirus,,,,g__Quivirus,g__Taipeivirus,,,g__Naesvirus,,g__Tamkungvirus,,g__Immutovirus
,g__Cheoctovirus,,,,g__Quivirus,g__Thalassavirus,,,g__Lessievirus,,g__Tamkungvirus,,g__Thalassavirus
,g__Tequatrovirus,,,,g__Baxterfoxvirus,g__Thalassavirus,,,g__Ryyoungvirus,,g__Lambdavirus,,g__Maaswegvirus
,g__Fishburnevirus,,,,g__Serangoonvirus,g__Tequatrovirus,,,g__Donellivirus,,g__Cheoctovirus,,g__Bronvirus
,g__Cheoctovirus,,,,g__Serangoonvirus,g__Tequatrovirus,,,g__Rauchvirus,,g__Cheoctovirus,,g__Likavirus
,g__Cheoctovirus,,,,g__Yushanluvirus,g__unclassified Caudoviricetes genus,,,g__Rauchvirus,,g__Jeonjuvirus,,g__Triduovirus
,g__Newforgelanevirus,,,,g__Yushanluvirus,g__Tequatrovirus,,,g__Omegavirus,,g__Feofaniavirus,,g__Jouyvirus
,g__Audreyjarvisvirus,,,,g__Yellowseavirus,g__Epseptimavirus,,,g__Benedictvirus,,g__Alexandravirus,,g__Alegriavirus
,g__Hollowayvirus,,,,g__Yellowseavirus,g__Wizardvirus,,,g__Fromanvirus,,g__Salmondvirus,,g__Nesevirus
,g__Hollowayvirus,,,,g__Scyllavirus,g__Zitchvirus,,,g__Brujitavirus,,g__Kratiovirus,,g__Bievrevirus
,g__Tequatrovirus,,,,g__Scyllavirus,g__Zitchvirus,,,g__Fromanvirus,,g__Bertelyvirus,,g__Jouyvirus
,g__Tequatrovirus,,,,g__Persistencevirus,g__Tequintavirus,,,g__Moineauvirus,,g__Daredevilvirus,,g__Radostvirus
,g__Pseudotevenvirus,,,,g__Arsenicumvirus,g__Kuttervirus,,,g__Moineauvirus,,g__Cheoctovirus,,g__Jouyvirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Irrigatiovirus,,,g__Moineauvirus,,g__Cheoctovirus,,g__Nesevirus
,g__Tequintavirus,,,,g__unclassified Caudoviricetes genus,g__Kuttervirus,,,g__Lederbergvirus,,g__Karimacvirus,,g__Barbavirus
,g__Tequintavirus,,,,g__unclassified Caudoviricetes genus,g__Epseptimavirus,,,g__Lederbergvirus,,g__Charlievirus,,g__Barbavirus
,g__Byrnievirus,,,,g__Gaprivervirus,g__Epseptimavirus,,,g__Lederbergvirus,,g__Kratiovirus,,g__Barbavirus
,g__Sendosyvirus,,,,g__Bigmanorsvirus,g__Muldoonvirus,,,g__Kostyavirus,,g__Cheoctovirus,,g__Barbavirus
,g__Muminvirus,,,,g__Bigmanorsvirus,g__Epseptimavirus,,,g__Omegavirus,,g__Cheoctovirus,,g__Barbavirus
,g__Hattifnattvirus,,,,g__Piscesmortuivirus,g__Beograduvirus,,,g__Tiamatvirus,,g__Cheoctovirus,,g__Barbavirus
,g__Lillamyvirus,,,,g__Zhangjivirus,g__Epseptimavirus,,,g__Hapunavirus,,g__Cheoctovirus,,g__Barbavirus
,g__Lillamyvirus,,,,g__Shenzhenivirus,g__Tequatrovirus,,,g__Kostyavirus,,g__Cheoctovirus,,g__Barbavirus
,g__Lillamyvirus,,,,g__Shenzhenivirus,g__Tequatrovirus,,,g__Kostyavirus,,g__Gillianvirus,,g__Lessievirus
,g__Muminvirus,,,,g__Jedunavirus,g__Cheoctovirus,,,g__Cheoctovirus,,g__Cheoctovirus,,g__Stanholtvirus
,g__Muminvirus,,,,g__Orthopoxvirus,g__Lazarusvirus,,,g__unclassified Straboviridae genus,,g__Nevillevirus,,g__Stanholtvirus
,g__Muminvirus,,,,g__Nipunavirus,g__Limestonevirus,,,g__Bronvirus,,g__Horusvirus,,g__Duodecimduovirus
,g__Lillamyvirus,,,,g__Nipunavirus,g__Hollowayvirus,,,g__Bronvirus,,g__Thetabobvirus,,g__Stanholtvirus
,g__Lillamyvirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Cheoctovirus,,g__Thetabobvirus,,g__Stanholtvirus
,g__Lillamyvirus,,,,g__Nipunavirus,g__Tequatrovirus,,,g__Cheoctovirus,,g__Thetabobvirus,,g__Naesvirus
,g__Lillamyvirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Fromanvirus,,g__Kratiovirus,,g__Lessievirus
,g__Muminvirus,,,,g__Nipunavirus,g__Tequatrovirus,,,g__Fromanvirus,,g__Cheoctovirus,,g__Ryyoungvirus
,g__Muminvirus,,,,g__Pamexvirus,g__Pseudotevenvirus,,,g__Omegavirus,,g__Yonseivirus,,g__Donellivirus
,g__Muminvirus,,,,g__Bosavirus,g__Pseudotevenvirus,,,g__Fromanvirus,,g__Justusliebigvirus,,g__Rauchvirus
,g__Bixzunavirus,,,,g__Bosavirus,g__Pseudotevenvirus,,,g__Fromanvirus,,g__Klausavirus,,g__Rauchvirus
,g__Tequatrovirus,,,,g__unclassified Mesyanzhinovviridae genus,g__Tequatrovirus,,,g__Fromanvirus,,g__Salmondvirus,,g__Octobienvirus
,g__Quadragintavirus,,,,g__unclassified Mesyanzhinovviridae genus,g__Tequatrovirus,,,g__Omegavirus,,g__Pylasvirus,,g__Lessievirus
,g__Tequatrovirus,,,,g__Bosavirus,g__Tequintavirus,,,g__Cheoctovirus,,g__Pylasvirus,,g__Lessievirus
,g__Fishburnevirus,,,,g__unclassified Mesyanzhinovviridae genus,g__Tequintavirus,,,g__Kostyavirus,,g__Andrewvirus,,g__Punavirus
,g__Justusliebigvirus,,,,g__Pamexvirus,g__Lazarusvirus,,,g__Fromanvirus,,g__Cheoctovirus,,g__Sinsheimervirus
,g__Justusliebigvirus,,,,g__Pamexvirus,g__Lazarusvirus,,,g__Omegavirus,,g__Orthopoxvirus,,g__Fromanvirus
,g__Justusliebigvirus,,,,g__Jerseyvirus,g__Lazarusvirus,,,g__Fromanvirus,,g__Citexvirus,,g__Fromanvirus
,g__Tequatrovirus,,,,g__Jerseyvirus,g__Lazarusvirus,,,g__Fromanvirus,,g__Octobienvirus,,g__Avanivirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Hadassahvirus,,,g__Poindextervirus,,g__Cheoctovirus,,g__Kostyavirus
,g__Tequatrovirus,,,,g__Jerseyvirus,g__Tequatrovirus,,,g__Hollowayvirus,,g__Cheoctovirus,,g__Lederbergvirus
,g__Cornievirus,,,,g__Jerseyvirus,g__Tequatrovirus,,,g__Detrevirus,,g__Leucotheavirus,,g__Lederbergvirus
,g__Cheoctovirus,,,,g__Betabaculovirus,g__Quadragintavirus,,,g__Taipeivirus,,g__Leucotheavirus,,g__Microwolfvirus
,g__Wulfhauvirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Quhwahvirus,,g__Cheoctovirus,,g__Chenonavirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Kanagawavirus,,,g__Quhwahvirus,,g__Electravirus,,g__Xipdecavirus
,g__Tequintavirus,,,,g__unclassified Caudoviricetes genus,g__Carltongylesvirus,,,g__Quhwahvirus,,g__Anayavirus,,g__Tiamatvirus
,g__Fishburnevirus,,,,g__Hollowayvirus,g__Tequatrovirus,,,g__Marthavirus,,g__Phapecoctavirus,,g__Lederbergvirus
,g__Epseptimavirus,,,,g__Hollowayvirus,g__Tequatrovirus,,,g__Gimaduovirus,,g__Fishburnevirus,,g__Yuavirus
,g__Epseptimavirus,,,,g__Hollowayvirus,g__Tequatrovirus,,,g__Abaiavirus,,g__Fishburnevirus,,g__Xipdecavirus
,g__Epseptimavirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Moazamivirus,,g__Veracruzvirus,,g__Kostyavirus
,g__Epseptimavirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Gamaleyavirus,,g__Qadamvirus,,g__Cheoctovirus
,g__Epseptimavirus,,,,g__unclassified Caudoviricetes genus,g__Tequatrovirus,,,g__Kumottavirus,,g__Qadamvirus,,g__Bronvirus
,g__Tequintavirus,,,,g__unclassified Caudoviricetes genus,g__Kuttervirus,,,g__Moineauvirus,,g__Parlovirus,,g__Bronvirus
,g__Epseptimavirus,,,,g__unclassified Caudoviricetes genus,g__Kuttervirus,,,g__Moineauvirus,,g__Godonkavirus,,g__Microwolfvirus
,g__Epseptimavirus,,,,g__Nonanavirus,g__Privateervirus,,,g__Moineauvirus,,g__Kagunavirus,,g__Microwolfvirus
,g__Wadgaonvirus,,,,g__unclassified Caudoviricetes genus,g__Privateervirus,,,g__Hestiavirus,,g__Kagunavirus,,g__Fromanvirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Kuttervirus,,,g__Isoldevirus,,g__Barbavirus,,g__Cheoctovirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Agtrevirus,,,g__Seamegvirus,,g__Fishburnevirus,,g__Faithunavirus
,g__Tequatrovirus,,,,g__unclassified Caudoviricetes genus,g__Privateervirus,,,g__Richievirus,,g__Fishburnevirus,,g__Cheoctovirus
,g__Cheoctovirus,,,,g__Alphabaculovirus,g__Privateervirus,,,g__Fajavirus,,g__Cheoctovirus,,g__Cheoctovirus
,g__Lastavirus,,,,g__Alphabaculovirus,g__Thalassavirus,,,g__Richievirus,,g__Cheoctovirus,,g__Cheoctovirus
,g__Tequatrovirus,,,,g__Mimivirus,g__Tequatrovirus,,,g__Jedunavirus,,g__Dongdastvirus,,g__Omegavirus
,g__Ashivirus,,,,g__Betabaculovirus,g__Tequatrovirus,,,g__Zhoulongquanvirus,,g__Dongdastvirus,,g__Cheoctovirus
,g__Fishburnevirus,,,,g__Alphabaculovirus,g__Tequintavirus,,,g__Zhoulongquanvirus,,g__Pourcelvirus,,g__Faithunavirus
,g__Harrisonburgvirus,,,,g__Alphabaculovirus,g__Kuttervirus,,,g__Zhoulongquanvirus,,g__Pourcelvirus,,g__Fromanvirus
,g__Harrisonburgvirus,,,,g__Moumouvirus,g__Kuttervirus,,,g__Zhoulongquanvirus,,g__Pourcelvirus,,g__Cheoctovirus
,g__Tequatrovirus,,,,g__Moumouvirus,g__Epseptimavirus,,,g__Kumottavirus,,g__Pourcelvirus,,g__Hollowayvirus
,g__Tequatrovirus,,,,g__Theiavirus,g__Kuttervirus,,,g__Mollymurvirus,,g__Dongdastvirus,,g__Rosebushvirus
,g__Tequatrovirus,,,,g__Oceanusvirus,g__Epseptimavirus,,,g__Powerballvirus,,g__Dongdastvirus,,g__Chlamydiamicrovirus
,g__Cimandefvirus,,,,g__Oceanusvirus,g__Kuttervirus,,,g__Jedunavirus,,g__Dongdastvirus,,g__Detrevirus
,g__Cimandefvirus,,,,g__Moumouvirus,g__Epseptimavirus,,,g__Coruscantvirus,,g__Dongdastvirus,,g__Xipdecavirus
,g__Cimandefvirus,,,,g__Moumouvirus,g__Kuttervirus,,,g__Gamaleyavirus,,g__unclassified Caudoviricetes genus,,g__Bixzunavirus
,g__Cimandefvirus,,,,g__Tupanvirus,g__Epseptimavirus,,,g__Privateervirus,,g__unclassified Caudoviricetes genus,,g__Innesvirus
,g__Cimandefvirus,,,,g__Tupanvirus,g__Epseptimavirus,,,g__Jedunavirus,,g__unclassified Caudoviricetes genus,,g__Haetaevirus
,g__Cimandefvirus,,,,g__Tupanvirus,g__Kuttervirus,,,g__Baxterfoxvirus,,g__unclassified Caudoviricetes genus,,g__Moineauvirus
,g__Bixzunavirus,,,,g__Tupanvirus,g__Kuttervirus,,,g__Privateervirus,,g__unclassified Caudoviricetes genus,,g__Moazamivirus
,g__Cheoctovirus,,,,g__Tupanvirus,g__Kuttervirus,,,g__Serangoonvirus,,g__Cornellvirus,,g__Brussowvirus
,g__Cheoctovirus,,,,g__Alphabaculovirus,g__Tequintavirus,,,g__Serangoonvirus,,g__Cornellvirus,,g__Moineauvirus
,g__Culoivirus,,,,g__Megavirus,g__Epseptimavirus,,,g__unclassified Caudoviricetes genus,,g__unclassified Caudoviricetes genus,,g__Seamegvirus
,g__Kahnovirus,,,,g__Alphabaculovirus,g__Kuttervirus,,,g__Yushanluvirus,,g__unclassified Caudoviricetes genus,,g__Kenyattavirus
,g__Buchavirus,,,,g__Alphabaculovirus,g__Kuttervirus,,,g__Yushanluvirus,,g__unclassified Caudoviricetes genus,,g__Richievirus
,g__Blohavirus,,,,g__Fadolivirus,g__Epseptimavirus,,,g__Yushanluvirus,,g__Nevillevirus,,g__Richievirus
,g__Buchavirus,,,,g__Betabaculovirus,g__Tequatrovirus,,,g__Yellowseavirus,,g__Cheoctovirus,,g__Acanvirus
,g__Buchavirus,,,,g__Betabaculovirus,g__Tequatrovirus,,,g__Yellowseavirus,,g__Cheoctovirus,,g__Cyamitesvirus
,g__Afonbuvirus,,,,g__Alphabaculovirus,g__Tequatrovirus,,,g__Yellowseavirus,,g__Goettingenvirus,,g__Cyamitesvirus
,g__Birpovirus,,,,g__Alphabaculovirus,g__Tequatrovirus,,,g__Scyllavirus,,g__Cenphatecvirus,,g__Acanvirus
,g__Aurodevirus,,,,g__Alphabaculovirus,g__Tequatrovirus,,,g__Scyllavirus,,g__Pylasvirus,,g__Zhoulongquanvirus
